trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-fabrica-eventos-hipotecarios-glue-trigger;sdlf-bigdata-fabrica-eventos-hipotecarios-glue-schedule;cron(15 12 16 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-mdpg-trx-otros-bancos-glue-trigger;sdlf-bigdata-mdpg-trx-otros-bancos-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:57
sdlf-bigdata-mpdg-panel-concrecion-spos-tda-glue-trigger;sdlf-bigdata-mpdg-panel-concrecion-spos-tda-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-mpdg-seguimiento-vta-unimarc-glue-trigger;sdlf-bigdata-mpdg-seguimiento-vta-unimarc-glue-schedule;cron(30 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-mpdg-tablon-comunicacion-spos-glue-trigger;sdlf-bigdata-mpdg-tablon-comunicacion-spos-glue-schedule;cron(00 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-mpdg-zoom-uso-unimarc-glue-trigger;sdlf-bigdata-mpdg-zoom-uso-unimarc-glue-schedule;cron(30 13 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-oferta-cc-trigger;sdlf-bigdata-oferta-cc-schedule;cron(45 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-ppff-funnel-av-historico-glue-trigger;sdlf-bigdata-ppff-funnel-av-historico-glue-schedule;cron(00 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-ppff-funnel-sav-historia-glue-trigger;sdlf-bigdata-ppff-funnel-sav-historia-glue-schedule;cron(0 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-ppff-new-funnel-av-glue-trigger;sdlf-bigdata-ppff-new-funnel-av-glue-schedule;cron(0 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-ppff-new-funnel-sav-glue-trigger;sdlf-bigdata-ppff-new-funnel-sav-glue-schedule;cron(0 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-ppff-sobregiro-planes-glue-trigger;sdlf-bigdata-ppff-sobregiro-planes-glue-schedule;cron(50 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-query-seg-diario-trigger;sdlf-bigdata-query-seg-diario-schedule;cron(00 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
