trigger_name;job_name;tipo;estado_glue;cron;clasificacion;Decision
sdlf-bigdata-table-version-cleaner-glue-trigger;sdlf-bigdata-table-version-cleaner-psh-glue-job;SCHEDULED;ACTIVATED;cron(40 22 ? * SUN *);migrable;migrar
sdlf-bigdata-transbank-extraction-psh-glue-job;sdlf-bigdata-transbank-extraction-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 12 * * ? *);migrable;migrar
sdlf-bigdata-uncompress-d10-bco-file-glue-trigger;sdlf-bigdata-uncompress-z-files-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 22 * * ? *);migrable;migrar
sdlf-bigdata-uncompress-d10-car-file-glue-trigger;sdlf-bigdata-uncompress-z-files-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 22 * * ? *);migrable;migrar
sdlf-bigdata-uncompress-mae-cob-convenios-car-det-file-glue-trigger;sdlf-bigdata-uncompress-z-files-psh-glue-job;SCHEDULED;ACTIVATED;cron(00 11 * * ? *);migrable;migrar
sdlf-bigdata-uncompress-mae-cob-convenios-car-s-file-glue-trigger;sdlf-bigdata-uncompress-z-files-psh-glue-job;SCHEDULED;ACTIVATED;cron(01 11 * * ? *);migrable;migrar
sdlf-bigdata-gj-update-bot-salesforce-glue-trigger;sdlf-bigdata-update-agentforce-glue-job;SCHEDULED;ACTIVATED;cron(00 13 * * ? *);migrable;migrar
sdlf-bigdata-visita-tienda-push-glue-trigger;sdlf-bigdata-visita-tienda-push;SCHEDULED;ACTIVATED;cron(00 13 * * ? *);migrable;migrar
sdlf-bigdata-workflow-monitor-glue-trigger;sdlf-bigdata-workflow-monitor-glue-job;SCHEDULED;DEACTIVATED;cron(0 0/1 * * ? *);migrable;borrar
sdlf-bigdata-customer360-workflow-data-quality-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(10 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-camreport-daily-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(40 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-camreport-full-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(50 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-camreport-monthly-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(00 13 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-cdc-daily-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-cdc-full-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(13 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-cdc-monthly-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(20 12 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-fidens-daily-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(45 10 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-fidens-full-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 10 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-fidens-monthly-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(15 10 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-fisa-daily-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(20 13 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-fisa-monthly-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(10 13 * * ? *);migrable;migrar
sdlf-bigdata-data-quality-tablas-calidad-glue-trigger;sdlf-bigdata-workloads-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(50 11 * * ? *);migrable;migrar
sdlf-bigdata-bigdata-wsp-cupones-alerts-glue-trigger;sdlf-bigdata-wsp-cupones-alerts-glue-job;SCHEDULED;ACTIVATED;cron(*/10 10-0 * * ? *);migrable;migrar
sdlf-bigdata-customer360-dim-sucursal-tg;sdlf-customer360-dim-sucursal-glue-job;SCHEDULED;ACTIVATED;cron(00 6 ? * MON *);migrable;No Migrar: Customer360 debe correr por otro flujo
sdlf-bigdata-fabrica-eventos-check-tables-glue-trigger;sdlf-bigdata-check-fe-tables-glue-job;SCHEDULED;ACTIVATED;cron(5 1,10-0 * * ? *);migrable;No Migrar: Inicio de Glue Workflow
sdlf-bigdata-platun-step0-trigger;sdlf-bigdata-data-extraction-glue-job;SCHEDULED;ACTIVATED;cron(0 1-5,11-0 ? * * *);migrable;No Migrar: Inicio de Glue Workflow
sdlf-bigdata-consentimientos-step0-trigger;sdlf-bigdata-rtl-paralell-launcher-psh-job;SCHEDULED;ACTIVATED;cron(00 11 * * ? *);migrable;No Migrar: Inicio de Glue Workflow
sdlf-bigdata-planes-step0-trigger;sdlf-bigdata-worflow-planes-data-quality-psh-glue-job;SCHEDULED;ACTIVATED;cron(15 13-0,1,2 * * ? *);migrable;No Migrar: Inicio de Glue Workflow
sdlf-bigdata-indicadores-macroeconomicos-psh-glue-job;sdlf-bigdata-wildcard1-psh-glue-job;SCHEDULED;ACTIVATED;cron(3 12 * * ? *);migrable;No Migrar: comodin/wildcard
sdlf-bigdata-call219-mis-ingest-vcons-saldo-historico-vintage-glue-trigger;sdlf-bigdata-call219-glue-job;SCHEDULED;ACTIVATED;cron(10 13 4 * ? *);migrable;borrar
sdlf-bigdata-tdsl-asesorias2-base-adc-marcas-glue-trigger;sdlf-bigdata-call219-glue-job;SCHEDULED;ACTIVATED;cron(00 19 ? * MON,TUE,WED,THU,FRI *);migrable;borrar
sdlf-bigdata-genesys-cloud-api-tg-job;sdlf-bigdata-callmisvalpo2-glue-job;SCHEDULED;DEACTIVATED;cron(15 10 * * ? *);migrable;borrar
sdlf-bigdata-process-mantenedora-campana-bucket-glue-trigger;sdlf-bigdata-mantenedora-campana-bucket-psh-glue-job;SCHEDULED;ACTIVATED;cron(0/5 * * * ? *);migrable;borrar
sdlf-bigdata-run-mdpg-modelo-fuga-glue-trigger;sdlf-bigdata-mdpg-modelo-fuga-glue-job;SCHEDULED;DEACTIVATED;cron(0 15 ? * * *);migrable;borrar
